tpep_pickup_datetime,trip_distance,total_sum,mean_bill
2023-11-28 23:00:00,2.23650525952441,18.571549502626027,8.303825543685617
2023-11-28 23:15:00,2.2841956437287485,18.6979804109636,8.185805126762606
2023-11-28 23:30:00,2.3269612559538215,18.731152835670326,8.049619557585812
2023-11-28 23:45:00,2.3655641564006964,18.783760925979642,7.940499468236749
2023-11-29 00:00:00,2.416393580648108,18.871464619662913,7.809764423642171
2023-11-29 00:15:00,2.4137096270283678,18.726049435619732,7.758203068806689
2023-11-29 00:30:00,2.3092168643967166,18.178129486426243,7.87198888363189
2023-11-29 00:45:00,2.246723261643758,17.84463331714804,7.942515049268893
2023-11-29 01:00:00,2.2439096919273633,17.737937754394892,7.90492497011287
2023-11-29 01:15:00,2.272365131967645,17.895035672459606,7.875070524851903
2023-11-29 01:30:00,2.3056533189056325,18.079340861568877,7.841309321450872
2023-11-29 01:45:00,2.3441173754394646,18.154485437456398,7.744699829313315
2023-11-29 02:00:00,2.3556657096483833,18.30545137704623,7.770818797450924
2023-11-29 02:15:00,2.364390929571083,18.34159869376456,7.757430661896446
2023-11-29 02:30:00,2.38291464641809,18.281786062190783,7.672027233401454
2023-11-29 02:45:00,2.373662581985114,18.434058235612362,7.766081993084208
2023-11-29 03:00:00,2.2264177531609053,17.934109911336652,8.055141442290026
2023-11-29 03:15:00,2.1806664193083907,17.622342241048166,8.081172840106916
2023-11-29 03:30:00,2.09937698539712,17.12061961794943,8.155095410227563
2023-11-29 03:45:00,2.048132924754758,16.916161164267137,8.25930825085128
2023-11-29 04:00:00,2.201917073195363,17.447645032929383,7.923842930019989
2023-11-29 04:15:00,2.170422096989336,17.134883210172003,7.894723903677706
2023-11-29 04:30:00,2.156947696635139,17.583971731003345,8.15224762215353
2023-11-29 04:45:00,2.2616264548676273,18.59560832659187,8.222227984010855
2023-11-29 05:00:00,2.1048127755194592,17.66160917850916,8.391059472807669
2023-11-29 05:15:00,1.9803394938603625,16.77199437162095,8.469252077039865
2023-11-29 05:30:00,1.9951178062955461,16.63629562434031,8.338502905364725
2023-11-29 05:45:00,1.8758720350102933,16.02222863362759,8.541216210166315
2023-11-29 06:00:00,1.790533934790843,15.650205337169348,8.740524283331993
2023-11-29 06:15:00,1.8358723051023003,15.576410067498673,8.484473579239875
2023-11-29 06:30:00,1.8687599987268197,15.532974858504701,8.311915317690483
2023-11-29 06:45:00,1.867057260596986,15.611080767479931,8.361329401589073
2023-11-29 07:00:00,1.8875749300338256,15.881385635560832,8.413645139521023
2023-11-29 07:15:00,1.9278782411655018,16.473559220220444,8.5449168253807
2023-11-29 07:30:00,1.9483093574271233,17.25286218210946,8.85529914247964
2023-11-29 07:45:00,1.896375430937351,17.603984805480884,9.282963973425604
2023-11-29 08:00:00,1.869866462558053,18.009991611373692,9.631699360357153
2023-11-29 08:15:00,1.9074254939753001,18.721133600445953,9.814870179505098
2023-11-29 08:30:00,1.953563091725926,19.397135627882122,9.929106313502892
2023-11-29 08:45:00,1.9596728679037634,19.69901916301391,10.052197734454372
2023-11-29 09:00:00,1.9268165593753273,19.623429304686756,10.184378585083708
2023-11-29 09:15:00,1.9560663256864648,19.857105826502394,10.151550367052975
2023-11-29 09:30:00,2.0004946882709254,20.10482724365784,10.04992783111807
2023-11-29 09:45:00,1.9579824922265943,19.85100347832363,10.138498968777451
2023-11-29 10:00:00,1.9356409956307832,19.796086481581273,10.22714776462469
2023-11-29 10:15:00,1.9829570211385312,20.188914971433537,10.18121661549775
2023-11-29 10:30:00,1.9922867998633491,20.48313497066539,10.28121803149543
2023-11-29 10:45:00,1.9772676747839342,20.678399955559986,10.458068080144796
2023-11-29 11:00:00,2.0193602506288313,21.186525673559157,10.49170184812821
2023-11-29 11:15:00,2.0354595891090046,21.462504364442985,10.54430384139334
2023-11-29 11:30:00,2.0571119010928043,21.589240661235127,10.494927694388538
2023-11-29 11:45:00,2.0596798203826276,21.54905143279476,10.46233070768814
2023-11-29 12:00:00,2.0233198996963946,21.405237678140036,10.579265138128656
2023-11-29 12:15:00,2.031602086176398,21.502925851225626,10.584221190526279
2023-11-29 12:30:00,2.06205369545274,21.54176473646739,10.446752567099242
2023-11-29 12:45:00,2.0229836707049667,21.177290140999645,10.468344578194154
2023-11-29 13:00:00,1.9976404057221304,21.072582227112193,10.548736482677736
2023-11-29 13:15:00,2.0892088491302405,21.655336722899577,10.365328833407402
2023-11-29 13:30:00,2.1154804704102346,21.757999658233672,10.285133785240927
2023-11-29 13:45:00,2.117258182056494,21.838936366382892,10.314725219373445
2023-11-29 14:00:00,2.1239985813464113,21.921451567061183,10.320840964575922
2023-11-29 14:15:00,2.110013445904853,21.921414927312377,10.389229969059107
2023-11-29 14:30:00,2.111645264707521,22.14396664380341,10.486594038260739
2023-11-29 14:45:00,2.0754210300036573,22.037358414500595,10.618259184962465
2023-11-29 15:00:00,2.0238149219415362,21.563822641241153,10.655036884773047
2023-11-29 15:15:00,2.052775754027728,21.505321390397135,10.476215606211147
2023-11-29 15:30:00,2.0449528344465744,21.447930597522674,10.488227521065115
2023-11-29 15:45:00,2.020096313937518,21.333242943208646,10.560507831246154
2023-11-29 16:00:00,2.0588938466198914,21.870469001863682,10.62243643001249
2023-11-29 16:15:00,2.1418495949170255,23.150678026624607,10.808731893016725
2023-11-29 16:30:00,2.1818393055941465,23.952945599102403,10.978327110382526
2023-11-29 16:45:00,2.1513629986585814,23.897420327895215,11.108037250243564
2023-11-29 17:00:00,2.154163797797549,23.930310129670477,11.108862823772828
